CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TAB_X_CLASSE_SERIE;TAB_X_QT_COTA;TAB_X_VL_COTA
26.207.801/0001-16;AQUIRAZ FIC DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2024-11-30;Subclasse Subordinada Mezanino 1 | Série 2;1837.94;3664.86
26.207.801/0001-16;AQUIRAZ FIC DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2024-11-30;Subclasse Subordinada Mezanino 2 | Série 3;468.31;2523.90
26.207.801/0001-16;AQUIRAZ FIC DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2024-11-30;Subclasse Subordinada Mezanino 3 | Série 1;11527.70;1538.37
26.207.801/0001-16;AQUIRAZ FIC DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2024-11-30;Subclasse Subordinada Subordinada 1 |;0.13;20385518.51
26.208.267/0001-62;C&J FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;Subclasse Senior;0.00;0.00
26.208.267/0001-62;C&J FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;Subclasse Subordinada Subordinada 1 |;697.93;39378.19
26.208.281/0001-66;JC CACAU FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS - FIDC-NP;2024-11-30;Subclasse Senior Série 2;74747.15;13.37
26.208.281/0001-66;JC CACAU FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS - FIDC-NP;2024-11-30;Subclasse Senior Série 1;0.00;0.00
26.208.281/0001-66;JC CACAU FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS - FIDC-NP;2024-11-30;Subclasse Subordinada Mezanino 1 | Série 1;18.31;1413180.86
26.208.281/0001-66;JC CACAU FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS - FIDC-NP;2024-11-30;Subclasse Subordinada Mezanino 2 | Série 2;35.35;954406.14
26.208.281/0001-66;JC CACAU FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS - FIDC-NP;2024-11-30;Subclasse Subordinada Subordinada 1 |;36.34;2979770.94
26.208.328/0001-91;ÁRTICO MIDDLE CORPORATE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;Subclasse Senior Série 1;3783.93;37052.49
26.208.328/0001-91;ÁRTICO MIDDLE CORPORATE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;Subclasse Subordinada Mezanino 1 | Série 1;1463.20;31890.55
26.208.328/0001-91;ÁRTICO MIDDLE CORPORATE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;Subclasse Subordinada Subordinada 1 |;1928.65;25651.36
26.286.853/0001-25;MILAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior;0.00;0.00
26.286.853/0001-25;MILAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Subordinada 1 |;750.00;4858.05
26.286.939/0001-58;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CIELO;2024-11-30;Subclasse Senior Série 3;600000.00;1030.43
26.286.939/0001-58;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CIELO;2024-11-30;Subclasse Subordinada Subordinada 1 |;2307644135.60;3.92
26.287.464/0001-14;TAPSO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior;0.00;0.00
26.287.464/0001-14;TAPSO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Mezanino 1 | Série 1;351657.57;31557.59
26.287.464/0001-14;TAPSO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Mezanino 1 | Série 2;446201.78;32036.30
26.287.464/0001-14;TAPSO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Subordinada 1 |;547792.93;11807.06
26.380.651/0001-48;SF4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS- RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 1;397.48;1439.90
26.380.651/0001-48;SF4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS- RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 2;0.00;0.00
26.380.651/0001-48;SF4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS- RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 3;0.00;0.00
26.380.651/0001-48;SF4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS- RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 4;1700.00;1054.29
26.380.651/0001-48;SF4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS- RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 5;2485.39;1001.84
26.380.651/0001-48;SF4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS- RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 6;625.00;1040.17
26.380.651/0001-48;SF4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS- RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Mezanino 1 | Série 1;0.00;0.00
26.380.651/0001-48;SF4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS- RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Mezanino 2 | Série 1;1600.84;389.04
26.380.651/0001-48;SF4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS- RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Mezanino 3 | Série 3;7801.10;925.84
26.380.651/0001-48;SF4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS- RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Subordinada 1 |;10083.44;287.13
26.395.682/0001-72;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS XPCE IV;2024-11-30;Subclasse Senior;0.00;0.00
26.395.682/0001-72;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS XPCE IV;2024-11-30;Subclasse Subordinada Subordinada 1 |;53331.22;2075.90
26.405.874/0001-12;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ATACADO RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior;0.00;0.00
26.405.874/0001-12;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ATACADO RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Subordinada 1 |;3513.36;266439.22
26.405.883/0001-03;FIDC MULTISEGMENTOS NPL IPANEMA VI RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior;0.00;0.00
26.405.883/0001-03;FIDC MULTISEGMENTOS NPL IPANEMA VI RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Subordinada 1 |;953.92;2476356.62
26.405.893/0001-49;FIDC RECEBÍVEIS RODOANEL TRECHO OESTE - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;Subclasse Senior;0.00;0.00
26.405.893/0001-49;FIDC RECEBÍVEIS RODOANEL TRECHO OESTE - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;Subclasse Subordinada Subordinada 1 |;84269.88;2031.73
26.405.908/0001-79;ZONDA - VX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS LP;2024-11-30;Subclasse Senior Série 1;0.00;0.00
26.405.908/0001-79;ZONDA - VX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS LP;2024-11-30;Subclasse Subordinada Subordinada 1 |;25410.58;2672.64
26.452.257/0001-78;AURI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 1;5169.19;1154.83
26.452.257/0001-78;AURI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 2;3000.00;1032.41
26.452.257/0001-78;AURI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Subordinada 1 |;10212.99;2429.97
26.452.257/0001-78;AURI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Mezanino 1 | Série 1;1486.01;1187.39
26.452.257/0001-78;AURI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Mezanino 2 | Série 1;3762.08;1249.30
26.459.204/0001-89;JAPUÍRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;Subclasse Senior;0.00;0.00
26.459.204/0001-89;JAPUÍRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;Subclasse Subordinada Subordinada 1 |;896444.58;1229.61
26.459.235/0001-30;LATACHE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;Subclasse Senior;0.00;0.00
26.459.235/0001-30;LATACHE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;Subclasse Subordinada Subordinada 1 |;13859.01;408.63
26.471.075/0001-44;JC 4870 V FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS - FIDC-NP;2024-11-30;Subclasse Senior Série 1;43071.52;7845.61
26.471.075/0001-44;JC 4870 V FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS - FIDC-NP;2024-11-30;Subclasse Subordinada Subordinada 1 |;500.00;20.00
26.489.103/0001-50;INVISTA III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;Subclasse Senior Série 1;28563.10;130.62
26.489.103/0001-50;INVISTA III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;Subclasse Subordinada Subordinada 1 |;15020.33;13107.90
26.489.103/0001-50;INVISTA III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;Subclasse Subordinada Mezanino 1 | Série 1;15000.00;134.41
26.506.898/0001-68;TREVISO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;Subclasse Senior Série 1;20122.57;5851.26
26.506.898/0001-68;TREVISO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;Subclasse Subordinada Subordinada 1 |;4637.06;22061.76
26.545.341/0001-36;URBE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL LP;2024-11-30;Subclasse Senior;0.00;0.00
26.545.341/0001-36;URBE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL LP;2024-11-30;Subclasse Subordinada Mezanino 1 | Série 1;0.00;0.00
26.545.341/0001-36;URBE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL LP;2024-11-30;Subclasse Subordinada Subordinada 1 |;0.00;0.00
26.545.364/0001-40;MT - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;Subclasse Senior Série 1;50.34;2344.96
26.545.364/0001-40;MT - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;Subclasse Senior Série 2;607.20;2344.96
26.545.364/0001-40;MT - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;Subclasse Senior Série 3;128.86;2344.96
26.545.364/0001-40;MT - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;Subclasse Senior Série 4;195.57;2344.96
26.545.364/0001-40;MT - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;Subclasse Senior Série 5;210.20;2344.96
26.545.364/0001-40;MT - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;Subclasse Senior Série 6;2000.00;1047.65
26.545.364/0001-40;MT - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;Subclasse Senior Série 7;60.00;1035.82
26.545.364/0001-40;MT - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;Subclasse Subordinada Subordinada 1 |;5452.48;3431.58
26.545.451/0001-06;FORNECEDORES BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO;2024-11-30;Subclasse Senior;0.00;0.00
26.545.451/0001-06;FORNECEDORES BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO;2024-11-30;Subclasse Subordinada Subordinada 1 |;83300764.86;1.72
26.558.776/0001-15;WNT AÇÕES JUDICIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS-NÃO PADRONIZADO;2024-11-30;Subclasse Senior;0.00;0.00
26.558.776/0001-15;WNT AÇÕES JUDICIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS-NÃO PADRONIZADO;2024-11-30;Subclasse Subordinada Subordinada 1 |;3326.01;3405.17
26.558.785/0001-06;UNIQUE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;Subclasse Senior Série 1;153954.90;1555.56
26.558.785/0001-06;UNIQUE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;Subclasse Senior Série 2;14988.48;1021.81
26.558.785/0001-06;UNIQUE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;Subclasse Subordinada Subordinada 1 |;118222.61;2275.07
26.560.778/0001-49;SCF BRAZIL II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;Subclasse Senior;0.00;0.00
26.560.778/0001-49;SCF BRAZIL II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;Subclasse Subordinada Subordinada 1 |;148.19;19045.45
26.570.645/0001-53;JC 4870 VI - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;Subclasse Senior Série 1;66988.41;8085.48
26.570.645/0001-53;JC 4870 VI - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;Subclasse Subordinada Subordinada 1 |;1000.00;10.00
26.607.493/0001-16;STEP-UP VII FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 1;381.81;2026690.50
26.607.493/0001-16;STEP-UP VII FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Mezanino 1 | Série 1;0.00;0.00
26.607.511/0001-60;STEP-UP III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 1;76.07;3633465.81
26.607.511/0001-60;STEP-UP III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Mezanino 1 | Série 1;0.00;0.00
26.648.752/0001-57;VALECRED DISTRESSED & SPECIAL SITS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;Subclasse Senior;0.00;0.00
26.648.752/0001-57;VALECRED DISTRESSED & SPECIAL SITS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;Subclasse Subordinada Subordinada 1 |;150362.81;2331.74
26.648.770/0001-39;G5 SPECIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;Subclasse Senior;0.00;0.00
26.648.770/0001-39;G5 SPECIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;Subclasse Subordinada Subordinada 1 |;111109.39;1925.87
26.648.789/0001-85;PROJEÇÃO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP;2024-11-30;Subclasse Senior;0.00;0.00
26.648.789/0001-85;PROJEÇÃO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP;2024-11-30;Subclasse Subordinada Subordinada 1 |;5297.24;2859.61
26.677.268/0001-56;GRIFO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADOS MULTISSETORIAL;2024-11-30;Subclasse Senior Série 1;4829.42;178.96
26.677.268/0001-56;GRIFO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADOS MULTISSETORIAL;2024-11-30;Subclasse Senior Série 2;1600.00;583.96
26.677.268/0001-56;GRIFO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADOS MULTISSETORIAL;2024-11-30;Subclasse Senior Série 3;2193.16;1285.10
26.677.268/0001-56;GRIFO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADOS MULTISSETORIAL;2024-11-30;Subclasse Senior Série 4;2000.00;1095.30
26.677.268/0001-56;GRIFO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADOS MULTISSETORIAL;2024-11-30;Subclasse Senior Série 5;1500.00;1095.34
26.677.268/0001-56;GRIFO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADOS MULTISSETORIAL;2024-11-30;Subclasse Senior Série 6;2926.58;1090.79
26.677.268/0001-56;GRIFO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADOS MULTISSETORIAL;2024-11-30;Subclasse Subordinada Subordinada 1 |;6540.92;1148.29
26.677.268/0001-56;GRIFO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADOS MULTISSETORIAL;2024-11-30;Subclasse Subordinada Mezanino 1 | Série 1;600.00;599.43
26.677.268/0001-56;GRIFO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADOS MULTISSETORIAL;2024-11-30;Subclasse Subordinada Mezanino 2 | Série 1;500.00;1010.52
26.677.268/0001-56;GRIFO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADOS MULTISSETORIAL;2024-11-30;Subclasse Subordinada Mezanino 3 | Série 1;400.00;1002.94
26.677.268/0001-56;GRIFO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADOS MULTISSETORIAL;2024-11-30;Subclasse Subordinada Mezanino 4 | Série 1;500.00;1007.18
26.689.672/0001-40;AFARE I - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;Subclasse Senior;0.00;0.00
26.689.672/0001-40;AFARE I - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;Subclasse Subordinada Subordinada 1 |;76321.91;218.95
26.689.692/0001-10;ALGARVE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;Subclasse Senior;0.00;0.00
26.689.692/0001-10;ALGARVE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;Subclasse Subordinada Subordinada 1 |;7416.90;250.02
26.690.344/0001-63;FATORI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2024-11-30;Subclasse Senior Série 1;0.00;0.00
26.690.344/0001-63;FATORI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2024-11-30;Subclasse Senior Série 2;0.00;0.00
26.690.344/0001-63;FATORI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2024-11-30;Subclasse Senior Série 3;0.00;0.00
26.690.344/0001-63;FATORI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2024-11-30;Subclasse Subordinada Mezanino 1 | Série 2;0.00;0.00
26.690.344/0001-63;FATORI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2024-11-30;Subclasse Subordinada Subordinada 1 |;0.00;0.00
26.690.344/0001-63;FATORI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2024-11-30;Subclasse Subordinada Mezanino 2 | Série 1;0.00;0.00
26.690.373/0001-25;SIMPLIC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;Subclasse Senior;0.00;0.00
26.690.373/0001-25;SIMPLIC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;Subclasse Subordinada Subordinada 1 |;100046584.81;2.34
26.690.689/0001-17;CONTINENTALBANCO NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - NAO PADRONIZADO;2024-11-30;Subclasse Senior;0.00;0.00
26.690.689/0001-17;CONTINENTALBANCO NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - NAO PADRONIZADO;2024-11-30;Subclasse Subordinada Subordinada 1 |;42746.29;6346.37
26.704.185/0001-09;MTR 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;Subclasse Senior Série 1;105835.18;240.52
26.704.185/0001-09;MTR 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;Subclasse Subordinada Subordinada 1 |;215.75;1198.23
26.709.975/0001-87;ARON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior;0.00;0.00
26.709.975/0001-87;ARON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Subordinada 1 |;265210.57;3093.79
26.710.026/0001-17;ORION - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;Subclasse Senior;0.00;0.00
26.710.026/0001-17;ORION - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;Subclasse Subordinada Subordinada 1 |;25459525.73;0.78
26.722.650/0001-34;VERDECARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 10;90000.00;1000.00
26.722.650/0001-34;VERDECARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 11;310000.00;1000.00
26.722.650/0001-34;VERDECARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 6;200000.00;500.00
26.722.650/0001-34;VERDECARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 7;55000.00;291.67
26.722.650/0001-34;VERDECARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 8;245000.00;861.11
26.722.650/0001-34;VERDECARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 9;300000.00;833.33
26.722.650/0001-34;VERDECARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Subordinada 1 |;317226.43;874.87
26.749.095/0001-34;CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 10;50000.00;937.29
26.749.095/0001-34;CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 11;35000.00;1004.05
26.749.095/0001-34;CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 12;50000.00;1003.93
26.749.095/0001-34;CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 5;30000.00;362.52
26.749.095/0001-34;CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 6;40000.00;332.64
26.749.095/0001-34;CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 7;40000.00;278.92
26.749.095/0001-34;CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 8;50000.00;636.04
26.749.095/0001-34;CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 9;40000.00;753.16
26.749.095/0001-34;CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Subordinada 1 |;21836.51;2360.23
26.749.095/0001-34;CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Mezanino 1 | Série 3;1500.00;362.69
26.749.095/0001-34;CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Mezanino 1 | Série 4;2000.00;305.89
26.749.095/0001-34;CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Mezanino 1 | Série 5;3000.00;279.03
26.749.095/0001-34;CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Mezanino 1 | Série 6;8000.00;753.49
