CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;CLASSE_UNICA;CNPJ_ADMIN;ADMIN;CLASSE;CNPJ_CLASSE;CONDOM;FUNDO_EXCLUSIVO;COTST_INTERESSE;PRAZO_CONVERSAO_COTA;TP_PRAZO_CONVERSAO_COTA;PRAZO_PAGTO_RESGATE;TP_PRAZO_PAGTO_RESGATE;TAB_I_VL_ATIVO;TAB_I1_VL_DISP;TAB_I2_VL_CARTEIRA;TAB_I2A_VL_DIRCRED_RISCO;TAB_I2A1_VL_CRED_VENC_AD;TAB_I2A2_VL_CRED_VENC_INAD;TAB_I2A21_VL_TOTAL_PARCELA_INAD;TAB_I2A3_VL_CRED_INAD;TAB_I2A4_VL_CRED_DIRCRED_PERFM;TAB_I2A5_VL_CRED_VENCIDO_PENDENTE;TAB_I2A6_VL_CRED_EMP_RECUP;TAB_I2A7_VL_CRED_RECEITA_PUBLICA;TAB_I2A8_VL_CRED_ACAO_JUDIC;TAB_I2A9_VL_CRED_FATOR_RISCO;TAB_I2A10_VL_CRED_DIVERSO;TAB_I2A11_VL_REDUCAO_RECUP;TAB_I2A12_CPF_CNPJ_CEDENTE_1;TAB_I2A12_PR_CEDENTE_1;TAB_I2A12_CPF_CNPJ_CEDENTE_2;TAB_I2A12_PR_CEDENTE_2;TAB_I2A12_CPF_CNPJ_CEDENTE_3;TAB_I2A12_PR_CEDENTE_3;TAB_I2A12_CPF_CNPJ_CEDENTE_4;TAB_I2A12_PR_CEDENTE_4;TAB_I2A12_CPF_CNPJ_CEDENTE_5;TAB_I2A12_PR_CEDENTE_5;TAB_I2A12_CPF_CNPJ_CEDENTE_6;TAB_I2A12_PR_CEDENTE_6;TAB_I2A12_CPF_CNPJ_CEDENTE_7;TAB_I2A12_PR_CEDENTE_7;TAB_I2A12_CPF_CNPJ_CEDENTE_8;TAB_I2A12_PR_CEDENTE_8;TAB_I2A12_CPF_CNPJ_CEDENTE_9;TAB_I2A12_PR_CEDENTE_9;TAB_I2B_VL_DIRCRED_SEM_RISCO;TAB_I2B1_VL_CRED_VENC_AD;TAB_I2B2_VL_CRED_VENC_INAD;TAB_I2B21_VL_TOTAL_PARCELA_INAD;TAB_I2B3_VL_CRED_INAD;TAB_I2B4_VL_CRED_DIRCRED_PERFM;TAB_I2B5_VL_CRED_VENCIDO_PENDENTE;TAB_I2B6_VL_CRED_EMP_RECUP;TAB_I2B7_VL_CRED_RECEITA_PUBLICA;TAB_I2B8_VL_CRED_ACAO_JUDIC;TAB_I2B9_VL_CRED_FATOR_RISCO;TAB_I2B10_VL_CRED_DIVERSO;TAB_I2B11_VL_REDUCAO_RECUP;TAB_I2B12_CPF_CNPJ_CEDENTE_1;TAB_I2B12_PR_CEDENTE_1;TAB_I2B12_CPF_CNPJ_CEDENTE_2;TAB_I2B12_PR_CEDENTE_2;TAB_I2B12_CPF_CNPJ_CEDENTE_3;TAB_I2B12_PR_CEDENTE_3;TAB_I2B12_CPF_CNPJ_CEDENTE_4;TAB_I2B12_PR_CEDENTE_4;TAB_I2B12_CPF_CNPJ_CEDENTE_5;TAB_I2B12_PR_CEDENTE_5;TAB_I2B12_CPF_CNPJ_CEDENTE_6;TAB_I2B12_PR_CEDENTE_6;TAB_I2B12_CPF_CNPJ_CEDENTE_7;TAB_I2B12_PR_CEDENTE_7;TAB_I2B12_CPF_CNPJ_CEDENTE_8;TAB_I2B12_PR_CEDENTE_8;TAB_I2B12_CPF_CNPJ_CEDENTE_9;TAB_I2B12_PR_CEDENTE_9;TAB_I2C_VL_VLMOB;TAB_I2C1_VL_DEBENTURE;TAB_I2C2_VL_CRI;TAB_I2C3_VL_NP_COMERC;TAB_I2C4_VL_LETRA_FINANC;TAB_I2C5_VL_COTA_FUNDO_ICVM555;TAB_I2C5_VL_COTA_FIF;TAB_I2C6_VL_OUTRO;TAB_I2D_VL_TITPUB_FED;TAB_I2E_VL_CDB;TAB_I2F_VL_OPER_COMPROM;TAB_I2G_VL_OUTRO_RF;TAB_I2H_VL_COTA_FIDC;TAB_I2I_VL_COTA_FIDC_NP;TAB_I2J_VL_CONTRATO_FUTURO;TAB_I2_DEBENTURE_CRI;TAB_I2_COTA_FIDC;TAB_I2_VL_OUTRO_ATIVO;TAB_I3_VL_POSICAO_DERIV;TAB_I3A_VL_MERCADO_TERMO;TAB_I3B_VL_MERCADO_OPCAO;TAB_I3C_VL_MERCADO_FUTURO;TAB_I3D_VL_DIFER_SWAP;TAB_I3E_VL_COBERTURA;TAB_I3F_VL_DEPOSITO_MARGEM;TAB_I4_VL_OUTRO_ATIVO;TAB_I4A_VL_CPRAZO;TAB_I4B_VL_LPRAZO
31.368.832/0001-99;UNIMAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;N;13.673.855/0001-25;OSLO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;UNIMAR FIDC;31368832000199;ABERTO;N;N;0;DIAS ÚTEIS;0;DIAS ÚTEIS;18620574.69;6075.26;18589497.67;18027239.24;18027239.24;0.00;0.00;6496452.81;0.00;0.00;0.00;0.00;0.00;0.00;;6496452.81;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;39546.75;522711.68;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;25001.76;25001.76;0.00
31.392.303/0001-20;BACK TO SUCCESS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;S;33.886.862/0001-12;MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS;BACK TO SUCCESS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NP;31392303000120;ABERTO;N;S;0;DIAS ÚTEIS;0;DIAS ÚTEIS;10077827.10;9991.50;10066628.18;9504454.40;12044717.34;382488.03;196333.50;3763208.62;0.00;0.00;0.00;0.00;0.00;0.00;;6685959.59;11581339000145;99.48;18705246000124;28.13;76828201000143;16.59;48852264000108;15.42;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;99999999999999;0.00;;;;;;;;;;;;;;;;;522649.66;0.00;0.00;0.00;0.00;;522649.66;0.00;39524.12;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1207.42;1207.42;0.00
31.405.473/0001-00;BDI NPL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;S;45.246.410/0001-55;BANCO GENIAL S.A.;;31405473000100;FECHADO;N;N;;;;;78804073.05;230480.59;58270833.95;49311118.28;0.00;0.00;0.00;56498855.72;0.00;0.00;0.00;0.00;0.00;0.00;;7187737.44;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;;;;;;;;;;;;;;;;;;;1020789.12;0.00;0.00;0.00;0.00;;1020789.12;0.00;7938926.55;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;20302758.51;4698.44;20298060.07
31.495.065/0001-89;JP MM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS DE  RESPONSABILIDADE LIMITADA;2024-11-30;S;03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;31495065000189;FECHADO;N;S;;;;;361613338.39;0.00;361603433.80;352266693.51;352198072.82;0.00;0.00;68628.09;0.00;0.00;0.00;0.00;0.00;0.00;;7.40;34337707000100;63.67;77500049000138;33.10;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;9316978.24;0.00;0.00;0.00;0.00;;9316978.24;0.00;19762.05;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9904.59;9904.59;0.00
31.523.738/0001-67;IMPETUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;S;39.669.186/0001-01;HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;;31523738000167;FECHADO;N;N;;;;;192921964.55;52487.85;192856413.16;147034755.18;147074446.14;0.00;0.00;17288.18;0.00;0.00;0.00;0.00;0.00;0.00;;56979.14;;;;;;;;;;;;;;;;;;;1886771.12;1886771.12;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;;;;;;;;;;;;;;;;;;;7456043.60;0.00;0.00;0.00;0.00;;7456043.60;0.00;258330.99;0.00;0.00;0.00;36220512.27;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13063.54;13063.54;0.00
31.523.773/0001-86;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALI CRÉDITO;2024-11-30;S;39.669.186/0001-01;HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;;31523773000186;FECHADO;N;N;;;;;32539078.10;1536.36;32514541.45;30086752.87;32220733.49;0.00;0.00;11905439.97;0.00;0.00;0.00;0.00;0.00;0.00;;14039420.59;99999999999999;135.62;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;;;;;;;;;;;;;;;;;;;1482877.01;0.00;0.00;0.00;0.00;;1482877.01;0.00;944911.57;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23000.29;23000.29;0.00
31.544.287/0001-44;DUBLIN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;S;00.329.598/0001-67;SEFER INVESTIMENTOS DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS LTDA.;DUBLIN FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NP;31544287000144;FECHADO;N;N;;;;;863386035.82;19979.05;617469265.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;99999999999999;0.00;;;;;;;;;;;;;;;;;48056797.35;0.00;48056797.35;46567551.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;99999999999999;18.07;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;569412467.97;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;245896791.45;0.00;245896791.45
31.570.767/0001-80;FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS TRADEPAY VAREJO I - RESPONSABILIDADE  LIMITADA;2024-11-30;S;39.669.186/0001-01;HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;;31570767000180;FECHADO;N;N;;;;;534531820.26;1544014.34;520422936.97;384879867.82;368540593.89;0.00;0.00;33732138.82;0.00;0.00;0.00;0.00;0.00;0.00;;17392864.89;99999999999999;75.29;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;;;;;;;;;;;;;;;;;;;134903910.02;0.00;0.00;0.00;0.00;;134903910.02;0.00;639159.13;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12564868.95;12564868.95;0.00
31.570.816/0001-84;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ANGÁ MULTIESTRATÉGIA II DE RESPONSABILIDADE  LIMITADA;2024-11-30;S;62.232.889/0001-90;BANCO DAYCOVAL S.A.;;31570816000184;FECHADO;N;N;;;;;167010543.51;1000.00;167005121.37;130454599.30;126147665.87;12472123.02;6176083.56;182522.91;0.00;0.00;0.00;0.00;0.00;0.00;;8347712.50;32402502000135;46.55;35977097000171;12.52;87163234000138;10.05;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;36550522.07;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4422.14;4422.14;0.00
31.570.850/0001-59;MITTU FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;S;39.669.186/0001-01;HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;;31570850000159;FECHADO;N;N;;;;;26300882.38;501611.32;25795188.15;10619010.31;14007604.97;0.00;0.00;13861936.18;0.00;0.00;0.00;0.00;0.00;0.00;;17250530.84;99999999999999;63.87;99999999999998;56.39;99999999999997;29.65;;;;;;;;;;;;;3774938.70;2912207.71;0.00;0.00;1468801.09;0.00;0.00;0.00;0.00;0.00;0.00;;606070.10;99999999999999;11.81;;;;;;;;;;;;;;;;;11227673.02;0.00;0.00;0.00;0.00;;11227673.02;0.00;173566.12;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4082.91;4082.91;0.00
31.608.972/0001-97;GAD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;S;00.806.535/0001-54;PLANNER CORRETORA DE VALORES S.A.;;31608972000197;ABERTO;N;N;2;DIAS ÚTEIS;1;DIAS ÚTEIS;206568261.58;552813.16;186713457.82;146736648.11;98143696.42;0.00;0.00;60152833.37;0.00;0.00;0.00;0.00;0.00;0.00;;11559881.68;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;;;;;;;;;;;;;;;;;;;39964952.48;0.00;0.00;32429470.64;0.00;;7535481.84;0.00;11857.23;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;19301990.60;19301990.60;0.00
31.611.449/0001-10;TERA YIELD FI EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;S;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;;31611449000110;ABERTO;N;N;89;DIAS ÚTEIS;90;DIAS ÚTEIS;44652576.36;0.00;44652576.36;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;;;;;;;;;;;;;;;;;;;7817887.95;4869288.21;237195.72;0.00;1044476.80;;1666927.22;0.00;0.00;0.00;0.00;0.00;36834688.41;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
31.658.884/0001-08;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CONFIANÇA;2024-11-30;S;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;;31658884000108;FECHADO;N;S;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
31.739.328/0001-58;LF FIC DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO ECONÔMICO FINANCEIRO;2024-11-30;S;03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;31739328000158;FECHADO;N;S;;;;;59662756.85;0.00;59661705.39;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;6520740.85;0.00;0.00;0.00;0.00;;6520740.85;0.00;0.00;0.00;0.00;0.00;53140964.54;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1051.46;1051.46;0.00
31.739.396/0001-17;LF III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2024-11-30;S;03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;31739396000117;FECHADO;N;S;;;;;532093482.54;0.00;532027219.14;354734822.00;354734822.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;32971064000126;66.69;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;177240516.16;0.00;0.00;0.00;0.00;;177240516.16;0.00;51880.98;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;66263.40;66263.40;0.00
31.770.515/0001-02;CASA 5 FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;S;62.285.390/0001-40;SINGULARE CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.;CASA 5 FIC DE FIDC;31770515000102;ABERTO;N;S;1;DIAS ÚTEIS;0;DIAS ÚTEIS;36595043.66;0.00;34291010.81;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;99999999999999;0.00;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;99999999999999;0.00;;;;;;;;;;;;;;;;;153441.39;0.00;0.00;0.00;0.00;;153441.39;0.00;0.00;0.00;0.00;0.00;34137569.42;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2304032.85;2304032.85;0.00
31.771.948/0001-74;VLA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA;2024-11-30;S;62.285.390/0001-40;SINGULARE CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.;VLA FIDC;31771948000174;FECHADO;N;N;;;;;69460054.56;953932.93;67760021.12;56150423.33;53624366.94;2912731.39;141672.88;14888.35;0.00;40300.42;0.00;0.00;0.00;0.00;;401563.35;20450899000151;51.56;55038896000190;16.97;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;99999999999999;0.00;;;;;;;;;;;;;;;;;11445280.62;0.00;0.00;0.00;0.00;;11445280.62;0.00;164317.17;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;746100.51;746100.51;0.00
31.772.126/0001-08;IRLA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2024-11-30;S;62.285.390/0001-40;SINGULARE CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.;IRLA FIDC MULTISSETORIAL;31772126000108;FECHADO;N;N;;;;;62606684.44;8716.40;62398788.58;39565845.83;0.00;39565845.83;3149.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;93293736000186;10.36;43730415000123;10.10;;;;;;;;;;;;;;;5162380.84;5162380.84;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;99999999999999;0.00;;;;;;;;;;;;;;;;;17581760.63;0.00;0.00;0.00;0.00;;17581760.63;0.00;88801.28;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;199179.46;198034.20;1145.26
31.772.157/0001-69;SERRA DO MAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;S;67.030.395/0001-46;TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;;31772157000169;FECHADO;N;S;;;;;53803272.10;54230.50;53561883.00;36932271.24;36932271.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;;;;;;;;;;;;;;;;;;;2575210.74;0.00;0.00;0.00;0.00;;2484878.71;90332.03;14054401.02;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;187158.60;187158.60;0.00
31.844.721/0001-01;PONTUAL BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL - RESPONSABILIDADE LIMIT;2024-11-30;S;62.285.390/0001-40;SINGULARE CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.;PONTUAL BRASIL FIDC MULTISSETORIAL RESP LTDA;31844721000101;FECHADO;N;N;;;;;190513385.36;3627209.15;184436785.90;491450.96;491448.81;22348224.02;10990920.68;26292.30;0.00;0.00;0.00;0.00;0.00;0.00;;22374514.17;11581339000145;12.32;;;;;;;;;;;;;;;;;183788730.85;146250222.93;47440408.34;8881903.97;8783552.81;0.00;519403.35;0.00;0.00;0.00;0.00;;18685453.23;79327649000171;21.56;79131918000120;15.61;06192781000140;13.66;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;156604.09;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2449390.31;2449390.31;0.00
31.847.511/0001-77;EXITUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;S;45.246.410/0001-55;BANCO GENIAL S.A.;;31847511000177;FECHADO;S;N;;;;;52130207.55;493183.44;51635360.26;51610724.70;51610724.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;;;;;;;;;;;;;;;;;;;24635.56;0.00;0.00;0.00;0.00;;24635.56;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1663.85;1663.85;0.00
31.848.028/0001-07;NAZARE MASTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;S;45.246.410/0001-55;BANCO GENIAL S.A.;;31848028000107;ABERTO;N;N;1;DIAS ÚTEIS;0;DIAS ÚTEIS;404126518.54;7355.09;404119163.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;;;;;;;;;;;;;;;;;;;141640.81;0.00;0.00;0.00;0.00;;141640.81;0.00;0.00;0.00;0.00;0.00;403977522.64;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
31.881.591/0001-87;3B FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADO;2024-11-30;S;62.285.390/0001-40;SINGULARE CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.;3B FIDC NAO PADRONIZADOS;31881591000187;FECHADO;N;N;;;;;11370914.82;154.43;11368718.77;8416184.22;8416184.22;0.00;0.00;12497303.48;0.00;0.00;0.00;0.00;0.00;0.00;;12497303.48;67030395000146;74.58;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;99999999999999;0.00;;;;;;;;;;;;;;;;;2952534.55;0.00;0.00;0.00;0.00;;2952534.55;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2041.62;2041.62;0.00
31.881.619/0001-86;OPTACRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;S;62.285.390/0001-40;SINGULARE CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.;OPTA INVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;31881619000186;ABERTO;N;S;0;DIAS ÚTEIS;0;DIAS ÚTEIS;19532592.59;261655.34;18928301.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;99999999999999;0.00;;;;;;;;;;;;;;;;;17738811.71;14369336.63;2819160.69;862792.08;716146.15;0.00;277762.05;0.00;0.00;0.00;0.00;;165831.76;99999999999999;0.00;;;;;;;;;;;;;;;;;1149965.24;0.00;0.00;0.00;0.00;;1149965.24;0.00;39524.11;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;342636.19;342636.19;0.00
31.894.563/0001-02;BELSINOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;S;62.285.390/0001-40;SINGULARE CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.;BELSINOS FIDC;31894563000102;FECHADO;N;N;;;;;17927496.88;33029.19;17579345.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;99999999999999;0.00;;;;;;;;;;;;;;;;;15866851.25;13649554.08;2229038.45;364954.29;69838.16;0.00;34612.99;0.00;0.00;0.00;0.00;;81579.44;07833689000427;11.77;22873292000100;15.31;;;;;;;;;;;;;;;1555592.18;0.00;0.00;0.00;0.00;;1555592.18;0.00;31619.30;0.00;125283.26;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;315121.70;315121.70;0.00
